Input Sample,b_memory,b_naive,dendritic_myeloid_immature,dendritic_myeloid_mature,endothelial,eosinophil,epithelial,fibroblast,macrophage_M1,macrophage_M2,mast_cell,monocyte,neutrophil,nk_primed_IL2,nk_primed_IL2_PDGFD,nk_resting,t_CD4_memory,t_CD8_memory,t_CD8_naive,t_gamma_delta,t_helper,P-value,Pearson Correlation,RMSE
TCGA-KT-A74X,0.09001815456171708,0,0,0.006613620178838111,0.008631692138932176,0,0.021486488453686746,0.06690502851267924,0.056164532670876184,0,0,0,0.05850941967447578,0,0.11077515430897834,0,0.015294367951858361,0.21190230495571086,0.34598961885482127,0,0.007709617737425806,0.01,0.40347178830612257,0.9694773324707627
TCGA-KT-A7W1,0,0.12539619814351324,0.11641706730443475,0,0.052895417398013,0,0.09265067860937273,0.019137553713232093,0.05157188721687038,0,0,0,0.06757622589846995,0,0.05530673834987506,0,0.06415680479563889,0.0861185773338835,0.2687728512366964,0,0,0,0.5547142186395884,0.8330889131287863
TCGA-P5-A5ET,0.01768287506327185,0.007501703437276535,0.013843133515456872,0,0.06242087928808631,0,0.05297827840485257,0.03963187549734044,0.03501125474630664,0,0,0,0.03894764870298666,0,0.09842704441375974,0,0.04486533188489402,0.15432022911043822,0.4343697459353301,0,0,0,0.5562459108723083,0.8463777799387617
TCGA-P5-A5EU,0.014607427401214157,0.010416739244826483,0.015468119519626115,0.0936560816483025,0.0791911051298615,0,0.1937812575615536,0.03267723602110166,0.09369361531843136,0,0,0,0.12001447453161034,0,0.08231578731183398,0,0,0.10188912881941271,0.15204645481778611,0,0.010242572674439452,0,0.5759376836592682,0.8163242819327823
TCGA-P5-A5EV,0,0.12063664508547325,0.15298005698171696,0,0.0024221684118199494,0,0.1514916027482652,0.0006,0.05402335139578203,0,0,0,0.038101271307520855,0,0.049054814734967624,0,0,0.111981141960861,0.3186981608871407,0,0,0,0.5125493219666416,0.8668539747259545
TCGA-P5-A5EW,0,0.10680158180257293,0.1970843571563775,0,0,0,0.10946778713256848,0.0018253182761973936,0.0615768182704466,0,0,0,0.06981891180703306,0,0.07183670454662817,0,0,0.14687141164139117,0.2347171093667847,0,0,0,0.5625788320696525,0.8255947598836174
TCGA-P5-A5EX,0.005118174942736992,0.08450023007199389,0.41018791269483107,0,0.1406121261056564,0,0.053717646288387336,0.08053648784857444,0,0.009465532844294,0,0,0,0,0,0.003264328329267912,0.019937641792080584,0.06671768417524875,0.12594223490692866,0,0,0,0.637969696706701,0.7810113454559565
TCGA-P5-A5EY,0,0.19379958736935982,0.3701851482185426,0,0.024262916995995823,0,0.06327699743713494,0.0016115667029341014,0.010965145109302273,0.002296981078713158,0,0,0,0.0034571324494816346,0,0,0.0352671822561246,0.10005935414924945,0.1730094147984163,0,0.021808573434745307,0.01,0.4552286939399603,0.8998576545793573
TCGA-P5-A5EZ,0,0.062157706927892055,0.12374818084786147,0,0.023018199667557238,0,0.09312426105346183,0.021740985576807613,0.06111790015994717,0,0,0,0.06746634513521063,0.008427017628757458,0.056497520099981845,0,0,0.14553205532863528,0.3371698275738874,0,0,0,0.5653639270726499,0.8263453876333562
TCGA-P5-A5F0,0,0.2243965166472676,0.09522672591101103,0,0.027208506235818327,0,0.11089166352364896,0,0.04994927115793867,0,0,0,0.040513214113571464,0.0022810220951459312,0,0,0.1172124287321406,0.0037411770014434934,0.31850285108923765,0.010076623492776302,0,0.01,0.37337504891274426,0.9830363563146819
TCGA-P5-A5F1,0,0.10259352534220284,0.29768541690757033,0,0.04044992886628014,0,0.16400896965523132,0.021968169411314003,0.03441168357629617,0,0,0,0.0005,0,0,0,0.06491370331379773,0.024664361289643756,0.2487760859351191,0,0,0,0.5639945803690014,0.8237700577924596
TCGA-P5-A5F2,0.09585013756231543,0.07190996427759137,0.22296473401388023,0,0.016774122374009676,0,0.172259796853915,0.00898013085133778,0.008112356269124554,0.005903344457278026,0,0,0.01479031413724545,0,0.04897039285337408,0,0,0.10763142825249183,0.16800817121011039,0,0.057845106887326296,0,0.6462478190317336,0.762262643885969
